id,name,category,price,description
101,Nike Air Zoom,shoes,4999,Running shoes with foam sole
102,HP 15s Laptop,laptop,41999,15-inch student laptop with Ryzen 5
103,Apple iPhone 15,phone,69999,Flagship smartphone with A16 chip
104,Samsung Galaxy A55,phone,31999,Mid-range Android phone with AMOLED display
105,Boat Airdopes 141,accessories,1499,True wireless earbuds with 42h playback
106,Logitech MX Master 3s,accessories,7999,Ergonomic wireless mouse
107,Sony WH-CH720N,accessories,8990,Noise cancelling Bluetooth headphones
108,Lenovo IdeaPad Slim 3,laptop,56999,14-inch laptop with Intel i5
109,ASUS TUF Gaming F15,laptop,78999,15-inch gaming laptop with RTX 3050
110,Adidas Ultraboost 22,shoes,12999,Premium running shoes with Boost midsole
111,Puma Smash v2,shoes,2999,Classic sneakers with rubber outsole
112,Wildcraft Backpack 35L,accessories,1999,Lightweight daypack for college
113,OnePlus Nord CE 4,phone,24999,Slim 5G phone with fast charging
114,Redmi Note 13 Pro,phone,26999,108MP camera and AMOLED display
115,Mi Power Bank 10000mAh,accessories,1199,Fast charging power bank
116,Fire-Boltt Ninja Call Pro,accessories,1999,Bluetooth calling smartwatch
117,HP 27f Monitor,accessories,17999,27-inch IPS full HD monitor
118,Canon Pixma G3000,accessories,14999,All-in-one ink tank printer
119,Prestige Electric Kettle,home,1799,1.5L stainless steel electric kettle
120,Philips Air Fryer,home,10999,Rapid air technology oil-free fryer
